Noun_plural_form_from_corpus,Plural_form_errors_in_count_context_from_corpus,Type,Condition_label,Intervening_noun_base_form,Gender_of_intervening_noun,Number_of_intervening_noun,Gender_of_target_noun,Number_of_target_noun,Beginning,Numeral,Condition_beginning,Target_noun_base_form,Target_noun_plural_form,Target_noun_count_form,Target_noun_other_plural_forms,Group,Final_sentence,Target_noun_after_final_sentence,File_prefix_of_all_audio_files,All_audio_files_original_name,,Path_of_audio_files_final_name,Output_audio_file_partial_filename,Number_of_words_in_condition
,,filler1,APAdvAN,конче,n,sg,f,pl,На земята лежаха,три,съборени от много буйното конче,ездачка,ездачки,ездачки,,B,На земята лежаха три съборени от много буйното конче,ездачка,Fillers1,STE-024_mono.wav,,Fillers1/mono/STE-024_mono.wav,filler1_APAdvAN_ездачка_три_B,5
,,filler1,A,ключе,n,sg,f,pl,При проверката се намериха,четири,отворени,врата,врати,врати,,B,При проверката се намериха четири отворени,врата,Fillers1,STE-025_mono.wav,,Fillers1/mono/STE-025_mono.wav,filler1_A_врата_четири_B,1
,,filler1,APN,ключе,n,sg,f,pl,При проверката се намериха,четири,отворени с ключето,врата,врати,врати,,C,При проверката се намериха четири отворени с ключето,врата,Fillers1,STE-026_mono.wav,,Fillers1/mono/STE-026_mono.wav,filler1_APN_врата_четири_C,3
,,filler1,APAdvAN,ключе,n,sg,f,pl,При проверката се намериха,четири,отворени с много малкото ключе,врата,врати,врати,,A,При проверката се намериха четири отворени с много малкото ключе,врата,Fillers1,STE-027_mono.wav,,Fillers1/mono/STE-027_mono.wav,filler1_APAdvAN_врата_четири_A,5
,,filler1,A,клонче,n,sg,f,pl,През прозореца се забелязваха,пет,сгушени,птица,птици,птици,,A,През прозореца се забелязваха пет сгушени,птица,Fillers1,STE-028_mono.wav,,Fillers1/mono/STE-028_mono.wav,filler1_A_птица_пет_A,1
,,filler1,APN,клонче,n,sg,f,pl,През прозореца се забелязваха,пет,сгушени на клончето,птица,птици,птици,,B,През прозореца се забелязваха пет сгушени на клончето,птица,Fillers1,STE-029_mono.wav,,Fillers1/mono/STE-029_mono.wav,filler1_APN_птица_пет_B,3
,,filler1,APAdvAN,клонче,n,sg,f,pl,През прозореца се забелязваха,пет,сгушени на много малкото клонче,птица,птици,птици,,C,През прозореца се забелязваха пет сгушени на много малкото клонче,птица,Fillers1,STE-030_mono.wav,,Fillers1/mono/STE-030_mono.wav,filler1_APAdvAN_птица_пет_C,5
,,filler1,A,мече,n,sg,f,pl,Вчера бяха идентифицирани,шест,жилещи,пчела,пчели,пчели,,C,Вчера бяха идентифицирани шест жилещи,пчела,Fillers1,STE-031_mono.wav,,Fillers1/mono/STE-031_mono.wav,filler1_A_пчела_шест_C,1
,,filler1,APN,мече,n,sg,f,pl,Вчера бяха идентифицирани,шест,жилещи мечето,пчела,пчели,пчели,,A,Вчера бяха идентифицирани шест жилещи мечето,пчела,Fillers1,STE-032_mono.wav,,Fillers1/mono/STE-032_mono.wav,filler1_APN_пчела_шест_A,2
,,filler1,APAdvAN,мече,n,sg,f,pl,Вчера бяха идентифицирани,шест,жилещи много малкото мече,пчела,пчели,пчели,,B,Вчера бяха идентифицирани шест жилещи много малкото мече,пчела,Fillers1,STE-033_mono.wav,,Fillers1/mono/STE-033_mono.wav,filler1_APAdvAN_пчела_шест_B,4
,,filler1,A,време,n,sg,f,pl,На заседанието бяха разгледани,седем,актуални,програма,програми,програми,,B,На заседанието бяха разгледани седем актуални,програма,Fillers1,STE-034_mono.wav,,Fillers1/mono/STE-034_mono.wav,filler1_A_програма_седем_B,1
,,filler1,APN,време,n,sg,f,pl,На заседанието бяха разгледани,седем,актуални във времето,програма,програми,програми,,C,На заседанието бяха разгледани седем актуални във времето,програма,Fillers1,STE-035_mono.wav,,Fillers1/mono/STE-035_mono.wav,filler1_APN_програма_седем_C,3
,,filler1,APAdvAN,време,n,sg,f,pl,На заседанието бяха разгледани,седем,актуални в много трудното време,програма,програми,програми,,A,На заседанието бяха разгледани седем актуални в много трудното време,програма,Fillers1,STE-036_mono.wav,,Fillers1/mono/STE-036_mono.wav,filler1_APAdvAN_програма_седем_A,5
,,filler1,A,книга,m,sg,f,pl,Миналата година излязоха,две,преведени,книга,книги,книги,,A,Миналата година излязоха две преведени,книга,Fillers1,STE-037_mono.wav,,Fillers1/mono/STE-037_mono.wav,filler1_A_книга_две_A,1
,,filler1,APN,книга,m,sg,f,pl,Миналата година излязоха,две,преведени от ученика,книга,книги,книги,,B,Миналата година излязоха две преведени от ученика,книга,Fillers1,STE-038_mono.wav,,Fillers1/mono/STE-038_mono.wav,filler1_APN_книга_две_B,3
,,filler1,APAdvAN,книга,m,sg,f,pl,Миналата година излязоха,две,преведени от много ученолюбивия ученик,книга,книги,книги,,C,Миналата година излязоха две преведени от много ученолюбивия ученик,книга,Fillers1,STE-039_mono.wav,,Fillers1/mono/STE-039_mono.wav,filler1_APAdvAN_книга_две_C,5
,,filler1,A,майстор,m,sg,f,pl,По пътя се движеха,три,поправени,кола,коли,коли,,C,По пътя се движеха три поправени,кола,Fillers1,STE-040_mono.wav,,Fillers1/mono/STE-040_mono.wav,filler1_A_кола_три_C,1
,,filler1,APN,майстор,m,sg,f,pl,По пътя се движеха,три,поправени от майстора,кола,коли,коли,,A,По пътя се движеха три поправени от майстора,кола,Fillers1,STE-041_mono.wav,,Fillers1/mono/STE-041_mono.wav,filler1_APN_кола_три_A,3
,,filler1,APAdvAN,майстор,m,sg,f,pl,По пътя се движеха,три,поправени от много сръчния майстор,кола,коли,коли,,B,По пътя се движеха три поправени от много сръчния майстор,кола,Fillers1,STE-042_mono.wav,,Fillers1/mono/STE-042_mono.wav,filler1_APAdvAN_кола_три_B,5
,,filler1,A,бракониер,m,sg,f,pl,През нощта горяха,четири,подпалени,гора,гори,гори,,B,През нощта горяха четири подпалени,гора,Fillers1,STE-043_mono.wav,,Fillers1/mono/STE-043_mono.wav,filler1_A_гора_четири_B,1
,,filler1,APN,бракониер,m,sg,f,pl,През нощта горяха,четири,подпалени от бракониера,гора,гори,гори,,C,През нощта горяха четири подпалени от бракониера,гора,Fillers1,STE-044_mono.wav,,Fillers1/mono/STE-044_mono.wav,filler1_APN_гора_четири_C,3
,,filler1,APAdvAN,бракониер,m,sg,f,pl,През нощта горяха,четири,подпалени от много опасния бракониер,гора,гори,гори,,A,През нощта горяха четири подпалени от много опасния бракониер,гора,Fillers1,STE-045_mono.wav,,Fillers1/mono/STE-045_mono.wav,filler1_APAdvAN_гора_четири_A,5
,,filler1,A,камион,m,sg,f,pl,Вчера пристигнаха,пет,превозени,доставка,доставки,доставки,,A,Вчера пристигнаха пет превозени,доставка,Fillers1,STE-046_mono.wav,,Fillers1/mono/STE-046_mono.wav,filler1_A_доставка_пет_A,1
,,filler1,APN,камион,m,sg,f,pl,Вчера пристигнаха,пет,превозени с камиона,доставка,доставки,доставки,,B,Вчера пристигнаха пет превозени с камиона,доставка,Fillers1,STE-047_mono.wav,,Fillers1/mono/STE-047_mono.wav,filler1_APN_доставка_пет_B,3
,,filler1,APAdvAN,камион,m,sg,f,pl,Вчера пристигнаха,пет,превозени с много големия камион,доставка,доставки,доставки,,C,Вчера пристигнаха пет превозени с много големия камион,доставка,Fillers1,STE-048_mono.wav,,Fillers1/mono/STE-048_mono.wav,filler1_APAdvAN_доставка_пет_C,5
,,filler1,A,певец,m,sg,f,pl,В залата прозвучаха,шест,изпeти,песен,песни,песни,,C,В залата прозвучаха шест изпeти,песен,Fillers1,STE-049_mono.wav,,Fillers1/mono/STE-049_mono.wav,filler1_A_песен_шест_C,1
,,filler1,APN,певец,m,sg,f,pl,В залата прозвучаха,шест,изпeти от певеца,песен,песни,песни,,A,В залата прозвучаха шест изпeти от певеца,песен,Fillers1,STE-050_mono.wav,,Fillers1/mono/STE-050_mono.wav,filler1_APN_песен_шест_A,3
,,filler1,APAdvAN,певец,m,sg,f,pl,В залата прозвучаха,шест,изпeти от много известния певец,песен,песни,песни,,B,В залата прозвучаха шест изпeти от много известния певец,песен,Fillers1,STE-051_mono.wav,,Fillers1/mono/STE-051_mono.wav,filler1_APAdvAN_песен_шест_B,5
,,filler1,A,сняг,m,sg,f,pl,Пред вратата бяха оставени,седем,пълни,кофа,кофи,кофи,,B,Пред вратата бяха оставени седем пълни,кофа,Fillers1,STE-052_mono.wav,,Fillers1/mono/STE-052_mono.wav,filler1_A_кофа_седем_B,1
,,filler1,APN,сняг,m,sg,f,pl,Пред вратата бяха оставени,седем,пълни със сняг,кофа,кофи,кофи,,C,Пред вратата бяха оставени седем пълни със сняг,кофа,Fillers1,STE-053_mono.wav,,Fillers1/mono/STE-053_mono.wav,filler1_APN_кофа_седем_C,3
,,filler1,APAdvAN,сняг,m,sg,f,pl,Пред вратата бяха оставени,седем,пълни с много ситен сняг,кофа,кофи,кофи,,A,Пред вратата бяха оставени седем пълни с много ситен сняг,кофа,Fillers1,STE-054_mono.wav,,Fillers1/mono/STE-054_mono.wav,filler1_APAdvAN_кофа_седем_A,5
,,filler1,A,студент,m,sg,f,pl,На масата бяха подредени,две,оцветени брошури,брошура,брошури,брошури,,A,На масата бяха подредени две оцветени брошури,брошура,Fillers1,STE-055_mono.wav,,Fillers1/mono/STE-055_mono.wav,filler1_A_брошура_две_A,2
,,filler1,APN,студент,m,sg,f,pl,На масата бяха подредени,две,оцветени от студента,брошура,брошури,брошури,,B,На масата бяха подредени две оцветени от студента,брошура,Fillers1,STE-056_mono.wav,,Fillers1/mono/STE-056_mono.wav,filler1_APN_брошура_две_B,3
,,filler1,APAdvAN,студент,m,sg,f,pl,На масата бяха подредени,две,оцветени от много умния студент,брошура,брошури,брошури,,C,На масата бяха подредени две оцветени от много умния студент,брошура,Fillers1,STE-057_mono.wav,,Fillers1/mono/STE-057_mono.wav,filler1_APAdvAN_брошура_две_C,5
,,filler1,A,удар,m,sg,f,pl,На земята проблясваха,три,счупени,чаша,чаши,чаши,,C,На земята проблясваха три счупени,чаша,Fillers1,STE-058_mono.wav,,Fillers1/mono/STE-058_mono.wav,filler1_A_чаша_три_C,1
,,filler1,APN,удар,m,sg,f,pl,На земята проблясваха,три,счупени след удара,чаша,чаши,чаши,,A,На земята проблясваха три счупени след удара,чаша,Fillers1,STE-059_mono.wav,,Fillers1/mono/STE-059_mono.wav,filler1_APN_чаша_три_A,3
,,filler1,APAdvAN,удар,m,sg,f,pl,На земята проблясваха,три,счупени след много силния удар,чаша,чаши,чаши,,B,На земята проблясваха три счупени след много силния удар,чаша,Fillers1,STE-060_mono.wav,,Fillers1/mono/STE-060_mono.wav,filler1_APAdvAN_чаша_три_B,5
,,filler1,A,коняк,m,sg,f,pl,В барчето бяха сложени,четири,пълни,бутилка,бутилки,бутилки,,B,В барчето бяха сложени четири пълни,бутилка,Fillers1,STE-061_mono.wav,,Fillers1/mono/STE-061_mono.wav,filler1_A_бутилка_четири_B,1
,,filler1,APN,коняк,m,sg,f,pl,В барчето бяха сложени,четири,пълни с коняк,бутилка,бутилки,бутилки,,C,В барчето бяха сложени четири пълни с коняк,бутилка,Fillers1,STE-062_mono.wav,,Fillers1/mono/STE-062_mono.wav,filler1_APN_бутилка_четири_C,3
,,filler1,APAdvAN,коняк,m,sg,f,pl,В барчето бяха сложени,четири,пълни с много силен коняк,бутилка,бутилки,бутилки,,A,В барчето бяха сложени четири пълни с много силен коняк,бутилка,Fillers1,STE-063_mono.wav,,Fillers1/mono/STE-063_mono.wav,filler1_APAdvAN_бутилка_четири_A,5
,,filler1,A,език,m,sg,f,pl,Подготвяха се за печат,пет,написани,новела,новели,новели,,A,Подготвяха се за печат пет написани,новела,Fillers1,STE-064_mono.wav,,Fillers1/mono/STE-064_mono.wav,filler1_A_новела_пет_A,1
,,filler1,APN,език,m,sg,f,pl,Подготвяха се за печат,пет,написани от автора,новела,новели,новели,,B,Подготвяха се за печат пет написани от автора,новела,Fillers1,STE-065_mono.wav,,Fillers1/mono/STE-065_mono.wav,filler1_APN_новела_пет_B,3
,,filler1,APAdvAN,език,m,sg,f,pl,Подготвяха се за печат,пет,написани от много известния автор,новела,новели,новели,,C,Подготвяха се за печат пет написани от много известния автор,новела,Fillers1,STE-066_mono.wav,,Fillers1/mono/STE-066_mono.wav,filler1_APAdvAN_новела_пет_C,5
,,filler1,A,шеф,m,sg,f,pl,На комисията се оплакаха,шест,тормозени,служителка,служителки,служителки,,C,На комисията се оплакаха шест тормозени,служителка,Fillers1,STE-067_mono.wav,,Fillers1/mono/STE-067_mono.wav,filler1_A_служителка_шест_C,1
,,filler1,APN,шеф,m,sg,f,pl,На комисията се оплакаха,шест,тормозени от шефа,служителка,служителки,служителки,,A,На комисията се оплакаха шест тормозени от шефа,служителка,Fillers1,STE-068_mono.wav,,Fillers1/mono/STE-068_mono.wav,filler1_APN_служителка_шест_A,3
,,filler1,APAdvAN,шеф,m,sg,f,pl,На комисията се оплакаха,шест,тормозени от много лошия шеф,служителка,служителки,служителки,,B,На комисията се оплакаха шест тормозени от много лошия шеф,служителка,Fillers1,STE-069_mono.wav,,Fillers1/mono/STE-069_mono.wav,filler1_APAdvAN_служителка_шест_B,5
,,filler1,A,анкета,m,sg,f,pl,В списанието бяха публикувани,седем,попълнени,анкета,анкети,анкети,,B,В списанието бяха публикувани седем попълнени,анкета,Fillers1,STE-070_mono.wav,,Fillers1/mono/STE-070_mono.wav,filler1_A_анкета_седем_B,1
,,filler1,APN,анкета,m,sg,f,pl,В списанието бяха публикувани,седем,попълнени от клиента,анкета,анкети,анкети,,C,В списанието бяха публикувани седем попълнени от клиента,анкета,Fillers1,STE-071_mono.wav,,Fillers1/mono/STE-071_mono.wav,filler1_APN_анкета_седем_C,3
,,filler1,APAdvAN,анкета,m,sg,f,pl,В списанието бяха публикувани,седем,попълнени от много доволния клиент,анкета,анкети,анкети,,A,В списанието бяха публикувани седем попълнени от много доволния клиент,анкета,Fillers1,STE-072_mono.wav,,Fillers1/mono/STE-072_mono.wav,filler1_APAdvAN_анкета_седем_A,5
,,filler2,A,трактор,m,sg,m,pl,Зад хълма се намираха,,обработени,терен,терени,терена,,A,Зад хълма се намираха обработени,терен,Fillers2,STE-067_mono.wav,,Fillers2/mono/STE-067_mono.wav,filler2_A_терен__A,1
,,filler2,APN,трактор,m,sg,m,pl,Зад хълма се намираха,,обработени от трактора,терен,терени,терена,,B,Зад хълма се намираха обработени от трактора,терен,Fillers2,STE-068_mono.wav,,Fillers2/mono/STE-068_mono.wav,filler2_APN_терен__B,3
,,filler2,APAdvAN,трактор,m,sg,m,pl,Зад хълма се намираха,,обработени от много големия трактор,терен,терени,терена,,C,Зад хълма се намираха обработени от много големия трактор,терен,Fillers2,STE-069_mono.wav,,Fillers2/mono/STE-069_mono.wav,filler2_APAdvAN_терен__C,5
,,filler2,A,камък,m,sg,m,pl,Снощи бяха поправени,,счупените,креват,кревати,кревата,,C,Снощи бяха поправени счупените,креват,Fillers2,STE-070_mono.wav,,Fillers2/mono/STE-070_mono.wav,filler2_A_креват__C,1
,,filler2,APN,камък,m,sg,m,pl,Снощи бяха поправени,,счупените с камъка,креват,кревати,кревата,,A,Снощи бяха поправени счупените с камъка,креват,Fillers2,STE-071_mono.wav,,Fillers2/mono/STE-071_mono.wav,filler2_APN_креват__A,3
,,filler2,APAdvAN,камък,m,sg,m,pl,Снощи бяха поправени,,счупените с много големия камък,креват,кревати,кревата,,B,Снощи бяха поправени счупените с много големия камък,креват,Fillers2,STE-072_mono.wav,,Fillers2/mono/STE-072_mono.wav,filler2_APAdvAN_креват__B,5
,,filler2,A,молив,m,sg,m,pl,На листа личаха,,нарисуваните,войник,войници,войника,,B,На листа личаха нарисуваните,войник,Fillers2,STE-001_mono.wav,,Fillers2/mono/STE-001_mono.wav,filler2_A_войник__B,1
,,filler2,APN,молив,m,sg,m,pl,На листа личаха,,нарисуваните с моливa,войник,войници,войника,,C,На листа личаха нарисуваните с моливa,войник,Fillers2,STE-002_mono.wav,,Fillers2/mono/STE-002_mono.wav,filler2_APN_войник__C,3
,,filler2,APAdvAN,молив,m,sg,m,pl,На листа личаха,,нарисуваните с много малкия молив,войник,войници,войника,,A,На листа личаха нарисуваните с много малкия молив,войник,Fillers2,STE-003_mono.wav,,Fillers2/mono/STE-003_mono.wav,filler2_APAdvAN_войник__A,5
,,filler2,A,нож,m,sg,m,pl,В хладилника бяха сложени,,нарязани,домат,домати,домата,,A,В хладилника бяха сложени нарязани,домат,Fillers2,STE-004_mono.wav,,Fillers2/mono/STE-004_mono.wav,filler2_A_домат__A,1
,,filler2,APN,нож,m,sg,m,pl,В хладилника бяха сложени,,нарязани с ножа,домат,домати,домата,,B,В хладилника бяха сложени нарязани с ножа,домат,Fillers2,STE-005_mono.wav,,Fillers2/mono/STE-005_mono.wav,filler2_APN_домат__B,3
,,filler2,APAdvAN,нож,m,sg,m,pl,В хладилника бяха сложени,,нарязани с много острия нож,домат,домати,домата,,C,В хладилника бяха сложени нарязани с много острия нож,домат,Fillers2,STE-006_mono.wav,,Fillers2/mono/STE-006_mono.wav,filler2_APAdvAN_домат__C,5
,,filler2,A,дървар,m,sg,m,pl,В гората се виждаха,,отсечените,орех,орехи,ореха,,C,В гората се виждаха отсечените,орех,Fillers2,STE-007_mono.wav,,Fillers2/mono/STE-007_mono.wav,filler2_A_орех__C,1
,,filler2,APN,дървар,m,sg,m,pl,В гората се виждаха,,отсечените от дърваря,орех,орехи,ореха,,A,В гората се виждаха отсечените от дърваря,орех,Fillers2,STE-008_mono.wav,,Fillers2/mono/STE-008_mono.wav,filler2_APN_орех__A,3
,,filler2,APAdvAN,дървар,m,sg,m,pl,В гората се виждаха,,отсечените от много стария дървар,орех,орехи,ореха,,B,В гората се виждаха отсечените от много стария дървар,орех,Fillers2,STE-009_mono.wav,,Fillers2/mono/STE-009_mono.wav,filler2_APAdvAN_орех__B,5
,,filler2,A,химикал,m,sg,m,pl,На конференцията се обсъждаха,,замърсените,язовир,язовири,язовира,,B,На конференцията се обсъждаха замърсените,язовир,Fillers2,STE-010_mono.wav,,Fillers2/mono/STE-010_mono.wav,filler2_A_язовир__B,1
,,filler2,APN,химикал,m,sg,m,pl,На конференцията се обсъждаха,,замърсените с химикал,язовир,язовири,язовира,,C,На конференцията се обсъждаха замърсените с химикал,язовир,Fillers2,STE-011_mono.wav,,Fillers2/mono/STE-011_mono.wav,filler2_APN_язовир__C,3
,,filler2,APAdvAN,химикал,m,sg,m,pl,На конференцията се обсъждаха,,замърсените с много опасен химикал,язовир,язовири,язовира,,A,На конференцията се обсъждаха замърсените с много опасен химикал,язовир,Fillers2,STE-012_mono.wav,,Fillers2/mono/STE-012_mono.wav,filler2_APAdvAN_язовир__A,5
,,filler2,A,турист,m,sg,m,pl,На снимката се открояваха,,новоизградените,курорт,курорти,курорта,,A,На снимката се открояваха новоизградените,курорт,Fillers2,STE-013_mono.wav,,Fillers2/mono/STE-013_mono.wav,filler2_A_курорт__A,1
,,filler2,APN,турист,m,sg,m,pl,На снимката се открояваха,,новоизградените от предприемача,курорт,курорти,курорта,,B,На снимката се открояваха новоизградените от предприемача,курорт,Fillers2,STE-014_mono.wav,,Fillers2/mono/STE-014_mono.wav,filler2_APN_курорт__B,3
,,filler2,APAdvAN,турист,m,sg,m,pl,На снимката се открояваха,,новоизградените от много богатия предприемач,курорт,курорти,курорта,,C,На снимката се открояваха новоизградените от много богатия предприемач,курорт,Fillers2,STE-015_mono.wav,,Fillers2/mono/STE-015_mono.wav,filler2_APAdvAN_курорт__C,5
,,filler2,A,препарат,m,sg,m,pl,В гардероба бяха закачени,,почистените,пуловер,пуловери,пуловера,,C,В гардероба бяха закачени почистените,пуловер,Fillers2,STE-016_mono.wav,,Fillers2/mono/STE-016_mono.wav,filler2_A_пуловер__C,1
,,filler2,APN,препарат,m,sg,m,pl,В гардероба бяха закачени,,почистените с препарат,пуловер,пуловери,пуловера,,A,В гардероба бяха закачени почистените с препарат,пуловер,Fillers2,STE-017_mono.wav,,Fillers2/mono/STE-017_mono.wav,filler2_APN_пуловер__A,3
,,filler2,APAdvAN,препарат,m,sg,m,pl,В гардероба бяха закачени,,почистените с много силен препарат,пуловер,пуловери,пуловера,,B,В гардероба бяха закачени почистените с много силен препарат,пуловер,Fillers2,STE-018_mono.wav,,Fillers2/mono/STE-018_mono.wav,filler2_APAdvAN_пуловер__B,5
,,filler2,A,учител,m,sg,m,pl,В ъгъла стояха,,наказаните,ученик,ученици,ученика,,B,В ъгъла стояха наказаните,ученик,Fillers2,STE-019_mono.wav,,Fillers2/mono/STE-019_mono.wav,filler2_A_ученик__B,1
,,filler2,APN,учител,m,sg,m,pl,В ъгъла стояха,,наказаните от учителя,ученик,ученици,ученика,,C,В ъгъла стояха наказаните от учителя,ученик,Fillers2,STE-020_mono.wav,,Fillers2/mono/STE-020_mono.wav,filler2_APN_ученик__C,3
,,filler2,APAdvAN,учител,m,sg,m,pl,В ъгъла стояха,,наказаните от много строгия учител,ученик,ученици,ученика,,A,В ъгъла стояха наказаните от много строгия учител,ученик,Fillers2,STE-021_mono.wav,,Fillers2/mono/STE-021_mono.wav,filler2_APAdvAN_ученик__A,5
,,filler2,A,психолог,m,sg,m,pl,На стола си почиваха,,консултираните,учител,учители,учителя,,A,На стола си почиваха консултираните,учител,Fillers2,STE-022_mono.wav,,Fillers2/mono/STE-022_mono.wav,filler2_A_учител__A,1
,,filler2,APN,психолог,m,sg,m,pl,На стола си почиваха,,консултираните от психолога,учител,учители,учителя,,B,На стола си почиваха консултираните от психолога,учител,Fillers2,STE-023_mono.wav,,Fillers2/mono/STE-023_mono.wav,filler2_APN_учител__B,3
,,filler2,APAdvAN,психолог,m,sg,m,pl,На стола си почиваха,,консултираните от много опитния психолог,учител,учители,учителя,,C,На стола си почиваха консултираните от много опитния психолог,учител,Fillers2,STE-024_mono.wav,,Fillers2/mono/STE-024_mono.wav,filler2_APAdvAN_учител__C,5
,,filler2,A,редактор,m,sg,m,pl,Лесно се четяха,,редактираните,роман,романи,романа,,C,Лесно се четяха редактираните,роман,Fillers2,STE-025_mono.wav,,Fillers2/mono/STE-025_mono.wav,filler2_A_роман__C,1
,,filler2,APN,редактор,m,sg,m,pl,Лесно се четяха,,редактираните от редактора,роман,романи,романа,,A,Лесно се четяха редактираните от редактора,роман,Fillers2,STE-026_mono.wav,,Fillers2/mono/STE-026_mono.wav,filler2_APN_роман__A,3
,,filler2,APAdvAN,редактор,m,sg,m,pl,Лесно се четяха,,редактираните от много внимателния редактор,роман,романи,романа,,B,Лесно се четяха редактираните от много внимателния редактор,роман,Fillers2,STE-027_mono.wav,,Fillers2/mono/STE-027_mono.wav,filler2_APAdvAN_роман__B,5
,,filler2,A,тир,m,sg,m,pl,В полицията бяха идентифицирани,,превозените,емигрант,емигранти,емигранта,,B,В полицията бяха идентифицирани превозените,емигрант,Fillers2,STE-028_mono.wav,,Fillers2/mono/STE-028_mono.wav,filler2_A_емигрант__B,1
,,filler2,APN,тир,m,sg,m,pl,В полицията бяха идентифицирани,,превозените в тира,емигрант,емигранти,емигранта,,C,В полицията бяха идентифицирани превозените в тира,емигрант,Fillers2,STE-029_mono.wav,,Fillers2/mono/STE-029_mono.wav,filler2_APN_емигрант__C,3
,,filler2,APAdvAN,тир,m,sg,m,pl,В полицията бяха идентифицирани,,превозените в много големия тир,емигрант,емигранти,емигранта,,A,В полицията бяха идентифицирани превозените в много големия тир,емигрант,Fillers2,STE-030_mono.wav,,Fillers2/mono/STE-030_mono.wav,filler2_APAdvAN_емигрант__A,5
,,filler2,A,дама,f,sg,m,pl,От кутията се показваха,,съхраняваните,гирлянд,гирлянди,гирлянда,,A,От кутията се показваха съхраняваните,гирлянд,Fillers2,STE-031_mono.wav,,Fillers2/mono/STE-031_mono.wav,filler2_A_гирлянд__A,1
,,filler2,APN,дама,f,sg,m,pl,От кутията се показваха,,съхраняваните от дамата,гирлянд,гирлянди,гирлянда,,B,От кутията се показваха съхраняваните от дамата,гирлянд,Fillers2,STE-032_mono.wav,,Fillers2/mono/STE-032_mono.wav,filler2_APN_гирлянд__B,3
,,filler2,APAdvAN,дама,f,sg,m,pl,От кутията се показваха,,съхраняваните от много младата дама,гирлянд,гирлянди,гирлянда,,C,От кутията се показваха съхраняваните от много младата дама,гирлянд,Fillers2,STE-033_mono.wav,,Fillers2/mono/STE-033_mono.wav,filler2_APAdvAN_гирлянд__C,5
,,filler2,A,компания,f,sg,m,pl,В аптеката се продаваха,,рекламираните,крем,кремове,крема,,C,В аптеката се продаваха рекламираните,крем,Fillers2,STE-034_mono.wav,,Fillers2/mono/STE-034_mono.wav,filler2_A_крем__C,1
,,filler2,APN,компания,f,sg,m,pl,В аптеката се продаваха,,рекламираните от компанията,крем,кремове,крема,,A,В аптеката се продаваха рекламираните от компанията,крем,Fillers2,STE-035_mono.wav,,Fillers2/mono/STE-035_mono.wav,filler2_APN_крем__A,3
,,filler2,APAdvAN,компания,f,sg,m,pl,В аптеката се продаваха,,рекламираните от много известната компания,крем,кремове,крема,,B,В аптеката се продаваха рекламираните от много известната компания,крем,Fillers2,STE-036_mono.wav,,Fillers2/mono/STE-036_mono.wav,filler2_APAdvAN_крем__B,5
,,filler2,A,река,f,sg,m,pl,След обяд бяха намерени,,хвърлените,камък,камъни,камъка,,B,След обяд бяха намерени хвърлените,камък,Fillers2,STE-037_mono.wav,,Fillers2/mono/STE-037_mono.wav,filler2_A_камък__B,1
,,filler2,APN,река,f,sg,m,pl,След обяд бяха намерени,,хвърлените в реката,камък,камъни,камъка,,C,След обяд бяха намерени хвърлените в реката,камък,Fillers2,STE-038_mono.wav,,Fillers2/mono/STE-038_mono.wav,filler2_APN_камък__C,3
,,filler2,APAdvAN,река,f,sg,m,pl,След обяд бяха намерени,,хвърлените в много голямата река,камък,камъни,камъка,,A,След обяд бяха намерени хвърлените в много голямата река,камък,Fillers2,STE-039_mono.wav,,Fillers2/mono/STE-039_mono.wav,filler2_APAdvAN_камък__A,5
,,filler2,A,среща,f,sg,m,pl,Във вестника бяха публикувани,,приетите,документ,документи,документа,,A,Във вестника бяха публикувани приетите,документ,Fillers2,STE-040_mono.wav,,Fillers2/mono/STE-040_mono.wav,filler2_A_документ__A,1
,,filler2,APN,среща,f,sg,m,pl,Във вестника бяха публикувани,,приетите след срещата,документ,документи,документа,,B,Във вестника бяха публикувани приетите след срещата,документ,Fillers2,STE-041_mono.wav,,Fillers2/mono/STE-041_mono.wav,filler2_APN_документ__B,3
,,filler2,APAdvAN,среща,f,sg,m,pl,Във вестника бяха публикувани,,приетите след много късната среща,документ,документи,документа,,C,Във вестника бяха публикувани приетите след много късната среща,документ,Fillers2,STE-042_mono.wav,,Fillers2/mono/STE-042_mono.wav,filler2_APAdvAN_документ__C,5
,,filler2,A,девойка,f,sg,m,pl,От градината бяха откъснати,,засадените,карамфил,карамфили,карамфила,,C,От градината бяха откъснати засадените,карамфил,Fillers2,STE-043_mono.wav,,Fillers2/mono/STE-043_mono.wav,filler2_A_карамфил__C,1
,,filler2,APN,девойка,f,sg,m,pl,От градината бяха откъснати,,засадените от девойката,карамфил,карамфили,карамфила,,A,От градината бяха откъснати засадените от девойката,карамфил,Fillers2,STE-044_mono.wav,,Fillers2/mono/STE-044_mono.wav,filler2_APN_карамфил__A,3
,,filler2,APAdvAN,девойка,f,sg,m,pl,От градината бяха откъснати,,засадените от много красивата девойка,карамфил,карамфили,карамфила,,B,От градината бяха откъснати засадените от много красивата девойка,карамфил,Fillers2,STE-045_mono.wav,,Fillers2/mono/STE-045_mono.wav,filler2_APAdvAN_карамфил__B,5
